               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11707,             0.02939,            0.030583,           0.0059867,              0.4166,           0.0044726,          0.00068325,            0.066611,            0.027313,            0.019537,               9e-05,               9e-05,             0.09919
                   1,            0.094234,            0.028694,            0.028613,           0.0096173,             0.43374,           0.0082394,           0.0012431,            0.051072,            0.027243,            0.018732,          0.00018983,          0.00018983,             0.09829
                   2,            0.076864,            0.030009,            0.027071,             0.10654,             0.19492,            0.081789,            0.017046,            0.035225,            0.029782,            0.018133,          0.00028897,          0.00028897,            0.097389
                   3,            0.059931,            0.030344,            0.025749,             0.32173,             0.59529,             0.32389,            0.081086,            0.030114,            0.028617,            0.017712,          0.00038689,          0.00038689,            0.096487
                   4,            0.053591,            0.030864,            0.024945,             0.40906,             0.72188,             0.44336,             0.10792,              0.0277,            0.025011,            0.017537,          0.00048307,          0.00048307,            0.095583
                   5,            0.048509,            0.027926,            0.024146,             0.42786,             0.80412,             0.49311,             0.21836,            0.029873,            0.019807,            0.017467,          0.00057701,          0.00057701,            0.094677
                   6,            0.047926,            0.023882,            0.024969,             0.50041,             0.93353,             0.59657,             0.27443,            0.026248,            0.017731,            0.017485,           0.0006682,           0.0006682,            0.093768
                   7,            0.047054,            0.022583,            0.023569,             0.53752,             0.58612,             0.52237,             0.11598,            0.040165,            0.014632,            0.017324,          0.00075617,          0.00075617,            0.092856
                   8,            0.046403,            0.020147,            0.024277,             0.24558,             0.62924,             0.26617,            0.090962,            0.031797,            0.014312,            0.017091,          0.00084046,          0.00084046,             0.09194
                   9,             0.04553,            0.017568,            0.024467,             0.54979,             0.72721,              0.5998,             0.22878,            0.026667,            0.013556,            0.016971,          0.00092065,          0.00092065,            0.091021
                  10,            0.045729,            0.018663,            0.023127,             0.35375,             0.71938,             0.40988,            0.089525,            0.034476,            0.012482,            0.016735,          0.00099632,          0.00099632,            0.090096
                  11,            0.042853,             0.01709,             0.02328,             0.54029,             0.81142,             0.63875,             0.16251,            0.024092,            0.012998,            0.016767,           0.0010671,           0.0010671,            0.089167
                  12,            0.041006,             0.01734,             0.02269,             0.51335,             0.74411,             0.55706,             0.29567,            0.028246,            0.011565,            0.016554,           0.0011327,           0.0011327,            0.088233
